HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
3,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,,,,,,,,,,,,0.19,,unknown,medium,acceptable,,,,,,"1294,1295,1296"
5,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7.0,7.0,,,,,,,,,,0.3,,captivity,large,acceptable,0.05,0.04,,,,"2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150"
6,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee,,,,,,,,,,,,8.0,812,unknown,medium,acceptable,,,,,,"63,407,408,741,805,806,808,812,815,828,830,831,847,848,902,908,1143,1166"
8,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,,,,,,,,,,,,0.5,1293,captivity,medium,acceptable,,,,,,1293
9,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant,,,,,,,,,,,,28.0,411,unknown,medium,acceptable,,,,,,"411,813,814"
10,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,dentata,Pheidole dentata,,,,,,,,,,,,0.4,1156,captivity,medium,questionable,,,,,,1156
11,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15.0,15.0,,,,,,,,,,0.5,811,wild,medium,acceptable,,,,,,"418,809,811"
12,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,,,,,,,,,,,,100.0,2,wild,medium,acceptable,,,,,,"2,13,594"
15,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095.0,1095.0,,,190.0,,,,,,,20.0,485,captivity,medium,acceptable,,,,,,"485,525,749"
16,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,,,,,148.0,,,,,,,15.8,451,captivity,large,acceptable,,,,,,"451,525,749"
17,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,,,,,73.0,,,,,,,29.0,,captivity,medium,acceptable,,,,,,"24,525,749"
18,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910.0,910.0,8.0,,6000.0,,365.0,,,21.7667,,36.0,525,captivity,medium,acceptable,,,0.00829,21.6,288.0,"37,268,426,525,749"
19,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095.0,1095.0,6.0,,5200.0,,,,,,,11.5,451,captivity,medium,acceptable,,,,,,"437,451,526,749"
20,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825.0,1460.0,11.0,,1750.0,,,,,,,15.0,503,wild,medium,acceptable,,,,,,"503,526,749"
21,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Great plains toad,730.0,730.0,4.0,,11074.0,,,,,,,10.7,485,captivity,small,questionable,,,,,,"485,526,749"
22,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,debilis,Green toad,,,,,1300.0,,,,,,,12.4,451,captivity,small,acceptable,,,,,,"451,749"
23,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian toad,730.0,730.0,,,,,,,,,,13.3,451,captivity,small,acceptable,,,,,,"451,528"
24,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730.0,730.0,,,1500.0,,,,,,,11.3,485,captivity,medium,acceptable,,,,,,"485,749"
25,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,,,2.0,,,,,,,,,15.3,451,captivity,small,acceptable,,,,,,"451,749"
26,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,,,3.0,,3250.0,,,,,19.267,,10.0,451,captivity,medium,acceptable,,,0.00698,19.2,288.0,"37,451,749"
27,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,,,,,,,,,,,,10.0,451,captivity,large,acceptable,,,,,,451
28,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460.0,1460.0,,,,,,,,,,40.0,451,captivity,medium,acceptable,,,,,,"451,525,526,1134"
29,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,Colorado river toad,,1095.0,,,7750.0,,,,,,,15.4,485,captivity,medium,acceptable,,,,,,"485,749"
30,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophrynoides,asperginis,Kihansi spray toad,,,,,,,,,,,,5.0,990,captivity,medium,questionable,,,,,,990
31,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,lemur,Ridge-headed toad,,,,,,,,,,,,10.7,451,captivity,small,acceptable,,,,,,451
32,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,peltocephala,Cuban toad,,,,,,,,,,,,20.0,485,captivity,small,acceptable,,,,,,485
33,Animalia,Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European green toad,,,,,,,,,,,,11.9,451,captivity,large,acceptable,,,,,,451
34,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian giant toad,,,,,,,,,,,,28.7,451,captivity,tiny,acceptable,,,,,,451
35,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,arenarum,Argentine toad,,,,,,,,,,,,,,unknown,small,low,,,,,,"451,525"
36,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,365.0,365.0,2.0,,10000.0,,,,,106.25,,24.8,485,captivity,large,acceptable,,,0.0303,105.0,293.0,"37,296,485,749"
37,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,schneideri,Eurura toad,,,,,,,,,,,,15.1,451,captivity,small,acceptable,,,,,,451
38,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,aurita,Common horned frog,,,,,,,,,,,,12.8,451,captivity,small,acceptable,,,,,,451
39,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,,,,,,,,,,,,15.9,451,captivity,tiny,acceptable,,,,,,451
40,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog,,,,,,,,,,,,10.3,485,captivity,small,acceptable,,,,,,"485,749"
41,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,,,,,,,,,,,,14.7,451,captivity,medium,acceptable,,,,,,451
42,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365.0,365.0,12.0,,6.0,,,,,,,20.5,448,captivity,large,acceptable,,,,,,"448,749"
43,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75.0,75.0,12.0,,7.0,,,,,,,11.5,451,captivity,large,acceptable,,,,,,"451,749"
44,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,Blue poison-dart frog,,,,,,,,,,,,,,unknown,large,low,,,,,,451
45,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog,,,,,,,,,,,,9.1,451,captivity,medium,acceptable,,,,,,451
46,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,pumilio,Strawberry poison frog,,,,,,,,,,,,7.5,451,captivity,medium,acceptable,,,,,,451
47,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates,vittatus,Golfo dulce poison-dart frog,304.0,304.0,15.0,,14.0,,,,,,,,,unknown,medium,low,,,,,,749
48,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog,,,,,,,,,,48.1,,10.9,451,captivity,small,acceptable,,,,,,"451,749"
49,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,blanchardi,Blanchard's cricket frog,,,,,,,,,,1.0,,,,unknown,small,low,,,,,,1096
50,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Northern cricket frog,,,,,,,,,,,,4.9,485,captivity,small,questionable,,,,,,"485,749,1096"
51,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,callidryas,Red-eyed tree frog,,,,,,,,,,,,,,unknown,large,low,,,,,,485
52,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,spurrelli,Maroon-eyed tree frog,,,,,,,,,,,,5.5,451,captivity,tiny,acceptable,,,,,,451
53,Animalia,Chordata,Amphibia,Anura,Hylidae,Diaglena,spatulata,Treefrog,,,,,,,,,,,,12.8,451,captivity,tiny,acceptable,,,,,,451
54,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,European tree frog,,,,,,,,,,,,22.0,451,captivity,small,acceptable,,,,,,451
55,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog,730.0,547.0,21.0,,35.0,,,,,,,7.8,485,captivity,medium,acceptable,,,,,,"485,528,749"
56,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,cinerea,Green treefrog,730.0,730.0,,,1222.0,,,,,,,,,unknown,medium,low,,,,,,"485,749"
57,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,gratiosa,Barking treefrog,,,,,2250.0,,,,,,,12.5,451,captivity,medium,acceptable,,,,,,"451,749"
58,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,japonica,Japanese treefrog,1278.0,1278.0,,,920.0,,,,,,,8.9,451,captivity,small,acceptable,,,,,,"451,749"
59,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel treefrog,,,1.0,,1000.0,1.0,,,,,,8.5,485,captivity,medium,acceptable,,,,,,"485,749"
60,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,730.0,730.0,4.0,,1800.0,,,,,7.2,,7.8,543,captivity,medium,acceptable,,,0.00433,6.97,290.5,"37,528,543,749"
61,Animalia,Chordata,Amphibia,Anura,Hylidae,Hypsiboas,rosenbergi,Rosenberg's treefrog,,,,,775.0,,,,,,,,,unknown,small,low,,,,,,"485,749"
62,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,caerulea,Australian green treefrog,,,,,1100.0,,,,,,,20.0,451,captivity,large,acceptable,,,,,,"451,749"
63,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban treefrog,255.0,120.0,1.0,,1500.0,,,,,,,12.9,451,captivity,medium,acceptable,,,,,,"451,749"
64,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,vastus,Hispaniola giant treefrog,,,,,,,,,,,,6.6,451,captivity,small,questionable,,,,,,451
65,Animalia,Chordata,Amphibia,Anura,Hylidae,Pachymedusa,dacnicolor,Mexican leaf frog,,,,,,,,,,,,8.7,451,captivity,small,acceptable,,,,,,451
66,Animalia,Chordata,Amphibia,Anura,Hylidae,Phyllomedusa,bicolor,Waxy treefrog,,,,,,,,,,,,10.3,451,captivity,medium,acceptable,,,,,,451
67,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,crucifer,Spring peeper,912.0,912.0,10.0,,700.0,,,,,4.0,,,,unknown,small,low,,,0.00105,0.9,292.0,"37,451,525,528,749"
68,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis,paradoxa,Paradox frog,,,,,,,,,,,,11.0,451,captivity,small,acceptable,,,,,,451
69,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,baudinii,Mexican treefrog,,,,,2480.0,,,,,,,6.3,485,captivity,small,acceptable,,,,,,"485,749"
70,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,fodiens,Lowland burrowing treefrog,,,,,,,,,,,,5.1,485,captivity,small,acceptable,,,,,,485
71,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,phaeota,Masked treefrog,,,,,2000.0,,,,,,,4.1,485,captivity,small,acceptable,,,,,,"485,749"
72,Animalia,Chordata,Amphibia,Anura,Hylidae,Trachycephalus,venulosus,Marbled treefrog,,,,,,,,,,,,10.5,451,captivity,small,acceptable,,,,,,451
73,Animalia,Chordata,Amphibia,Anura,Leiopelmatidae,Ascaphus,truei,Coastal tailed frog,,,32.0,,62.0,,,,,,,14.0,525,wild,medium,acceptable,,,,,,"525,749"
74,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,pentadactylus,Tungara frog,,,,,,,,,,,,18.8,451,captivity,medium,acceptable,,,,,,451
75,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella,,,14.0,,40.0,,,,,,,10.9,451,captivity,large,acceptable,,,,,,"451,749"
76,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,expectata,Blue-legged mantella,365.0,365.0,,,,,,,,,,3.0,1060,wild,small,questionable,,,,,,1060
77,Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern narrow-mouthed toad,547.0,365.0,1.0,,722.0,,,,,,,6.8,485,captivity,small,acceptable,,,,,,"485,528,749"
78,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula,pulchra,Malaysian narrowmouth toad,,,,,,,,,,,,11.0,485,captivity,medium,acceptable,,,,,,485
79,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Ornate narrow-mouthed frog,547.0,182.0,,,,,,1125.0,,,,5.0,964,wild,small,acceptable,,,,,,964
80,Animalia,Chordata,Amphibia,Anura,Microhylidae,Phrynomantis,bifasciatus,Red-banded frog,,,,,,,,,,,,10.3,451,captivity,medium,acceptable,,,,,,451
81,Animalia,Chordata,Amphibia,Anura,Microhylidae,Scaphiophryne,gottlebei,Rainbow frog,365.0,365.0,,,,,,,,,,2.0,1060,wild,small,questionable,,,,,,1060
82,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Common Eurasian spadefoot toad,,,8.0,,1740.0,,,,,,,11.0,485,captivity,medium,acceptable,,,,,,"485,749"
83,Animalia,Chordata,Amphibia,Anura,Petropedetidae,Conraua,goliath,Goliath frog,,,,,,,,,,,,5.9,451,captivity,small,acceptable,,,,,,"451,749"
84,Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa,pipa,Surinam toad,,,,,,,,,,,,7.7,485,captivity,medium,acceptable,,,,,,"485,749"
85,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,183.0,,2.0,,,,,,,130.0,,30.3,451,captivity,large,acceptable,,,0.012,63.6,288.0,"10,37,196,451,526,607,749,1255"
86,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,adspersus,African bullfrog,,,,,,,,,,,,45.0,451,captivity,medium,acceptable,,,,,,"451,749"
87,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Tomopterna,delalandii,Cape sand frog,,,,,,,,,,,,11.3,451,captivity,small,acceptable,,,,,,451
88,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,1277.0,730.0,4.0,,,,,,,54.4,,16.0,485,captivity,medium,acceptable,,,0.0134,51.2,288.0,"2,37,485,526,528,749"
89,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Green frog,730.0,730.0,,,4000.0,,,,,,,10.0,528,captivity,medium,acceptable,,,,,,"528,749"
90,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog,730.0,365.0,,,4146.0,,,,,29.0222,,9.0,525,wild,medium,acceptable,,,0.00576,21.6,289.78,"37,42,268,525,528,749"
91,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,septentrionalis,Mink frog,730.0,547.0,,,2250.0,,,,,,,6.0,528,wild,medium,acceptable,,,,,,"528,749"
92,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,Wood frog,912.0,547.0,,,900.0,,,,,7.88,,5.0,,unknown,medium,questionable,,,0.0041600000000000005,7.8,289.8,"37,43,289,340,528,749"
93,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,virgatipes,Carpenter frog,,730.0,,,,,,,,,,6.2,485,captivity,small,acceptable,,,,,,"485,749"
94,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,lessonae,Pool frog,,,,,2420.0,,,,,,,6.0,525,wild,medium,acceptable,,,,,,"525,749"
95,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,nigromaculatus,Black-spotted frog,730.0,730.0,,,2800.0,,,,,,,15.0,651,wild,medium,acceptable,,,,,,"651,749"
96,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,perezi,Italian green frog,912.0,912.0,6.0,,,,,,,,,6.8,650,captivity,small,acceptable,,,,,,"525,650,749"
97,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,ridibundus,Marsh frog,1460.0,1095.0,,,6835.0,,,,,,,11.0,525,wild,medium,acceptable,,,,,,"525,749,895"
98,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,amurensis,Siberian wood frog,1640.0,1640.0,,,2125.0,,,,,,,9.0,525,wild,medium,acceptable,,,,,,"525,749"
99,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,arvalis,Moor frog,,,,,1750.0,,,,,,,11.0,525,wild,medium,acceptable,,,,,,"525,749"
100,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,aurora,California red-legged frog,,,,,,,,,,,,15.0,503,wild,medium,acceptable,,,,,,"503,1150"
101,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,esculenta,Edible frog,,,,,,,,,,,,12.0,525,wild,medium,acceptable,,,,,,525
102,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,iberica,Iberian frog,,,,,318.0,,,,,,,8.0,525,wild,medium,acceptable,,,,,,"525,749"
103,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,macrocnemis,Long-legged wood frog,912.0,912.0,,,2040.0,,,,,,,5.0,525,wild,medium,acceptable,,,,,,"525,749"
104,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,temporaria,European frog,1095.0,1095.0,,,2585.0,,,,,,,27.0,,unknown,medium,acceptable,,,,,,"25,525,526,749,1118"
105,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,couchii,Couch's spadefoot,,,,,3000.0,,,,,,,6.7,485,captivity,small,questionable,,,,,,"458,485,749"
106,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,Eastern spadefoot,730.0,730.0,8.0,,3872.0,,,,,,,12.3,485,captivity,small,acceptable,,,,,,"485,528,749"
107,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,intermontana,Great Basin spadefoot,,,3.0,,676.0,,,,,,,20.0,437,wild,medium,acceptable,,,,,,"437,749"
108,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,Northwestern salamander,730.0,730.0,,,150.0,,,,,,,10.2,485,captivity,small,acceptable,,,,,,"485,749"
109,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mabeei,Mabee's salamander,,,,,,,,,,,,8.8,485,captivity,small,acceptable,,,,,,485
110,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,Long-toed salamander,730.0,730.0,40.0,,250.0,,,,,,,10.0,437,wild,medium,acceptable,,,,,,"437,749"
111,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted salamander,1095.0,730.0,,,125.0,,,,,12.84,,32.0,,unknown,medium,acceptable,,,0.005,12.8,290.0,"37,528,749"
112,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,Axolotl,548.0,548.0,18.0,,,,,,,,,17.0,451,captivity,large,acceptable,,,,,,"449,451,749,796,843"
113,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,1296.0,1113.0,,,100.0,,,,,,,11.3,485,captivity,small,acceptable,,,,,,"485,528,749"
114,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,rosaceum,Chihuahuan mole salamander,,,,,,,,,,,,14.4,451,captivity,small,acceptable,,,,,,451
115,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,Mole salamander,730.0,730.0,,,350.0,,,,,,,9.0,749,unknown,medium,acceptable,,,,,,"528,749"
116,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,texanum,Small-mouthed salamander,,,35.0,,625.0,,,,,,,13.8,485,captivity,tiny,acceptable,,,,,,"485,749"
117,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger salamander,1460.0,1460.0,28.0,,37.0,,,,,9.402000000000001,,25.0,485,captivity,medium,acceptable,,,0.00196,3.21,291.0,"27,37,440,485,1143"
118,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,ensatus,California giant salamander,,,150.0,,85.0,,,,,,,16.9,451,captivity,tiny,acceptable,,,,,,"451,749"
119,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,means,Two-toed amphiuma,1460.0,1095.0,150.0,,200.0,,,,,200.967,,27.0,485,captivity,small,acceptable,,,0.009040000000000001,199.0,288.0,"37,485,749"
120,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,tridactylum,Three-toed amphiuma,,,135.0,,200.0,,,,,,,15.9,485,captivity,small,acceptable,,,,,,"485,749"
121,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,davidianus,Chinese giant salamander,,,55.0,,500.0,,,,,,,19.9,485,captivity,small,questionable,,,,,,"485,749"
122,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,japonicus,Japanese giant salamander,1825.0,1825.0,60.0,,500.0,,,,,,,55.0,485,captivity,small,acceptable,,,,,,"2,485,749"
123,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,1825.0,1825.0,72.0,,275.0,,,,,358.1,,29.0,528,wild,medium,acceptable,,,0.0253,358.0,288.0,"37,440,528"
124,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,boulengeri,Boulenger's oriental salamander,,,,,32.0,,,,,,,11.9,485,captivity,small,acceptable,,,,,,"230,231,485,749"
125,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,leechii,Chinese salamander,,,,,,,,,,,,7.1,451,captivity,small,acceptable,,,,,,451
126,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,nebulosus,Clouded salamander,,,,,,,,,,,,14.2,485,captivity,medium,acceptable,,,,,,485
127,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,retardatus,Japanese salamander,,,,,,,,,,,,12.9,485,captivity,small,acceptable,,,,,,485
128,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,fischeri,Long-tailed clawed salamander,,,,,,,,,,,,17.0,525,wild,medium,acceptable,,,,,,525
129,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,japonicus,Japanese clawed salamander,,,,,17.0,,,,,,,14.2,451,captivity,small,acceptable,,,,,,"451,749"
130,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Paradactylodon,mustersi,Afghanistan salamander,,,,,,,,,,,,11.0,451,captivity,small,acceptable,,,,,,451
131,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Salamandrella,keyserlingii,Siberian salamander,,,23.0,,70.0,,,,,,,8.0,525,wild,medium,acceptable,,,,,,"525,749"
132,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,aeneus,Green salamander,912.0,912.0,82.0,,21.0,2.0,,,,,,,,unknown,tiny,low,,,,,,"451,528,749"
133,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,lugubris,Arboreal salamander,1095.0,1095.0,,,14.5,,,,,,,,,unknown,small,low,,,,,,"485,749"
134,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,dofleini,Giant palm salamander,,,,,,,,,,,,6.9,451,captivity,small,acceptable,,,,,,451
135,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,mexicana,Palm salamander,,,,,,,,,,,,12.2,451,captivity,small,acceptable,,,,,,451
136,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,monticola,Seal salamander,1642.0,1277.0,45.0,,25.0,,,,,,,17.7,485,captivity,tiny,acceptable,,,,,,"485,528,749"
137,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,Allegheny mountain dusky salamander,1280.0,1280.0,,,16.0,,,,,0.6,,19.8,485,captivity,tiny,acceptable,0.3,,,,,"468,485,526,529"
138,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,Black-bellied salamander,1280.0,1280.0,,,25.0,,,,,14.34,,15.0,485,captivity,small,acceptable,,,0.00411,14.1,288.0,"37,468,485,749"
139,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,welteri,Black mountain salamander,1642.0,1642.0,,,26.0,,,,,,,20.0,485,captivity,small,acceptable,,,,,,"485,528,749"
140,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Ensatina,eschscholtzii,Ensatina,1278.0,1278.0,138.0,,14.0,,,,,,,,,unknown,tiny,low,,,,,,"451,749"
141,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,lucifuga,Cave salamander,1095.0,1095.0,13.0,,73.0,,,,,,,9.1,451,captivity,small,acceptable,,,,,,"451,749"
142,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,rathbuni,Texas blind salamander,,,,,,,,,,,,10.3,451,captivity,small,acceptable,,,,,,451
143,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,spelaea,Grotto salamander,,,,,,,,,,,,9.9,485,captivity,small,acceptable,,,,,,485
144,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,wilderae,Blue ridge two-lined salamander,1278.0,1278.0,,,32.0,,,,,,,8.0,485,captivity,small,acceptable,,,,,,"485,749"
145,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus,palleucus,Tennessee cave salamander,,,,,,,,,,,,18.5,485,captivity,small,acceptable,,,,,,485
146,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus,porphyriticus,Spring salamander,1460.0,1460.0,,,61.0,,,,,,,18.5,485,captivity,small,acceptable,,,,,,"485,528,749"
147,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hemidactylium,scutatum,Four-toed salamander,912.0,912.0,,,30.0,,,,,,,8.9,485,captivity,small,acceptable,,,,,,"468,485"
148,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,hubrichti,Red Hills salamander,2008.0,,,,9.0,,,,,,,19.7,485,captivity,small,acceptable,,,,,,"485,749"
